Years,Age dependency ratio (% of working-age population),GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
2011,42.8588952887091,4.69999999867412,5.28437530828725,4.28154999826118,3.85394644115574,372.500882448711,54.1357267253019,12.9197578932998,69.4355736620453,63.34,9
2012,43.1066653605776,7.20000000096486,7.33470454115984,5.34580441814725,3.58376691873744,401.763975626916,54.1020493566013,11.2811932906832,75.9616759606704,63.24,8
2013,43.5955735295585,3.3,3.37178358702843,3.36682464224465,3.99724455730484,409.625749270293,54.0660143068409,12.2168430436348,77.5550481598824,63.164,7
2014,44.220347328995,3.60000000058993,3.88187670110254,2.30918242990974,3.94337826474581,415.919789204938,54.0299108068581,13.7812486601176,75.778866962639,63.112,6
2015,45.0074829961521,3.19999999896625,3.51599547257022,1.21390990471085,4.23922578573229,477.918306576099,53.9965568673175,16.1800096730379,71.6820743427575,63.085,5
2016,45.9130890185114,0.199999999825991,0.611877151180408,0.268575076501392,4.09034921699325,480.488150777966,53.9661270827109,17.0423595080455,76.0779674593548,63.082,4
2017,46.8188831337656,7.50000000164144,7.96544606461424,2.15064189848613,3.84973057654684,482.716393849129,53.939449660253,11.9973399575166,87.202376539837,63.103,3
2018,47.4127303230816,5.19999999965324,5.56850117850011,2.78770951425761,4.11988615256896,482.987946590235,53.8890673942814,9.73397739946579,92.473107021212,63.149,2
2019,47.8107543362811,7.59999999853918,7.83608438672164,1.06562263923419,4.78770584078564,480.44512876712,53.8189073448367,10.9595785635957,96.1141541288708,63.219,1
2020,48.1754870679756,-7.19999999920631,-7.16866452731679,1.80659270159933,4.98254372367497,489.008858590915,53.7708430477514,9.63911034033596,69.4888075396076,63.313,0
2010,39.274311233566,5.04894451349574,3.80649102062563,13.5458167908374,2.79100435652891,0.80265,51.9298009697328,6.30070170030242,74.9859884610856,53.406,10
2011,38.7078975091925,0.10000013782458,-1.19584296227708,22.524361140543,4.67013555547022,0.789686388888889,51.8554690665125,-2.88597938752249,80.5080450059522,53.637,9
2012,38.81041962457,2.1652394748416,0.816684128241235,2.88293295403217,4.65861825196324,0.785645349462366,51.7777602392446,15.0296068894244,78.263069540422,53.883,8
2013,39.5493100261129,5.80980084268208,4.45002009882025,0.445064509020867,4.54092330961466,0.784541075268817,51.6996375050779,17.6862204009871,74.6758447629851,54.145,7
2014,40.4458230491559,2.75050681535518,1.47593694077869,-1.28499552026639,4.55501312398224,0.7843475,51.6269001648611,19.3916777101463,69.4832251953347,54.422,6
2015,41.3385630702997,1.09397591627469,-0.103121364891479,-8.84969256895297,5.46487679293858,1.02456381855059,51.5607642894128,28.9454418522707,72.6015079073189,54.714,5
2016,42.2694499411257,-3.09999988037266,-4.17717168005237,14.6714002511137,3.68852730317814,1.59572157270424,51.4509605785238,1.48583383570765,90.0773187345677,55.021,4
2017,42.9697743409433,0.199999938958655,-0.778416126232784,16.1724003104411,3.75630173249661,1.72115480222734,51.3057569592403,0.318577982868449,90.4023156823216,55.343,3
2018,43.1245500256305,1.49999999999999,0.624486167739661,12.1848769569655,3.56240123412697,1.70001666666667,51.1845622192109,4.691769977505,91.6725765369825,55.68,2
2019,43.2140002863056,2.50000006743734,1.63585048130741,-0.241307927446329,3.87341170306515,1.7,51.1129397975862,17.5649086189187,85.8181454084561,56.031,1
2020,43.4171493479948,-4.30000010230737,-4.95270173869491,-7.39596582740913,5.39049499415887,1.7,51.0862790508096,26.5368212837468,72.0178676487811,56.397,0
