Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1998,90.5376060317158,28.8033227894877,1.77258309100318,0.452407592557293,9.10917293901807,32.4970666110039,7.36193041666667,50.9133111174096,,94.9275656742685,24.903,0
1988,95.1171465434969,3.38606528433409,0.503674879297762,-3.34518199788333,3.10550371429636,8.5014361098123,2.07,50.8279007056402,2.80731501368175,,12.143,10
1989,95.4757038632148,3.47458247157008,-0.36104417975227,-4.11569691071389,5.58473189935049,10.2766484563588,2.07,50.7510458167645,0.393303172891858,,12.38,9
1990,95.886756053368,3.55033136048128,2.72645178272658,-1.0064688929518,3.27137461018934,9.6579698086295,2.07,50.6841812289137,2.64218947419863,,12.621,8
1991,95.8232624599868,3.40089152154028,-7.13747970027428,-11.0737930131849,19.0842902283411,5.70513154467309,2.07,50.5992594353366,-10.9874192500558,,12.867,7
1992,95.8926378892905,2.2449679995519,-8.67248014788842,-12.4354815219745,15.5322258683715,3.44170834936514,2.8025,50.5114336288947,-6.51958863577435,,13.116,6
1993,96.4787220417645,2.73662934443893,13.1428339765154,9.23479853421722,13.3768642296366,3.07168835064302,5.0,50.4411429675369,0.549614574893553,,13.37,5
1994,97.0730362422405,3.0482712924944,3.18996458217961,-0.340437449778463,2.93108171424225,2.86843870238978,5.465,50.3769282721675,11.0775593039487,,13.627,4
1995,97.6212396687544,3.3432463542146,6.12751141376545,2.57532695955953,12.706369018741,2.22561605430131,6.15833333333333,50.3217510912132,2.10898845849346,,13.827,3
1996,98.243007722384,3.51350821346144,12.4261737774646,8.77685691388592,0.239138038731895,2.11713848911382,6.351675,50.271925224536,13.6448984853101,,14.006,2
1997,99.0924680813357,3.31172326946544,3.13390685087593,-0.119280616504753,0.20665555091621,3.3431774775412,6.70934166666667,50.2222726564236,10.2721165500366,,14.186,1
1998,100.047919167455,3.32510783279653,-3.45813913371742,-6.44288564669758,-0.150146937642802,7.27693614895529,7.11590833333333,50.1750715415533,10.6661618530292,,14.369,0
1972,57.1902082085568,9.45419844939678,1.62841651825939,0.0320089147512164,64.2447859149364,1.82380952380952,4.999999999e-11,50.4570037187866,,14.0356431972715,79.743,10
1973,57.5076504015073,14.2269567324563,2.81175403849035,1.16290357603461,65.535287370144,1.84857142857143,4.999999999e-11,50.5091849977671,,13.3221685115576,80.158,9
1974,57.9132089064774,14.9553402347754,5.5338043957736,3.81225224716344,30.630441370412,1.65918367346939,4.999999999e-11,50.5580438367155,,13.1915798576321,80.567,8
1975,58.3864821235626,14.7438301022275,-0.0284121037110907,-1.62320618621685,197.697364543187,2.04195804195804,3.65749999995e-10,50.5985887744841,,11.8027242947756,80.969,7
1976,58.9675879453518,16.5450567208518,-2.01825151683394,-3.53995334802055,438.322779739816,3.78129117259552,1.3998333333316702e-09,50.6314158477024,,15.0968846242519,81.366,6
1977,59.6529069513677,14.3631993894218,6.93414775653342,5.25406554729264,159.42717769645,4.00860009555662,4.07633333332834e-09,50.6602175643264,,16.942286567935,81.755,5
1978,60.3878298432888,12.8437011264304,-4.50612480201359,-6.0207877961285,161.372172004157,4.71914405808177,7.957499999995831e-09,50.6828797031183,,14.3237963724369,82.139,4
1979,61.1212136531302,11.5558254911682,10.2227634638681,8.47665216535873,147.377044034473,4.67335625570135,1.31696666666408e-08,50.6995964364766,,12.8406846411368,82.516,3
1980,61.8360931237676,7.16871495328276,1.51878394990179,-0.0856397028385061,95.7904246128352,3.09895833333333,1.83715833333225e-08,50.7138400825144,,11.5456724606844,82.887,2
1981,62.5270329198226,3.37339318668341,-5.18978914135593,-6.69655885721481,105.276366380064,3.46534653465347,4.40269166666725e-08,50.7280452448656,,14.2929774788834,83.313,1
1982,63.1125476534823,2.65154295803259,-0.735659159103619,-2.31535975378387,194.535299663443,2.70455793520044,2.59225333333263e-07,50.742509895067,,15.6114860999886,83.759,0
1972,60.0046495609534,51.9245416503608,4.32166756962231,3.96855607900957,7.18825188402374,5.1710477559332,0.400390461530008,51.3906902338671,0.29084168320383,41.569431627825,77.195,10
1973,60.1523219717184,50.2386052165571,6.52384848717706,6.31824501880698,8.41487853048275,4.90616105746511,0.408170945299307,51.376100973591,-0.382676747053772,47.4304221696313,77.358,9
1974,60.0780844346666,51.0947397569533,-2.48440405800613,-2.54587723829528,15.0592126445052,5.06942711490535,0.427756439747663,51.356633356781,-5.26616904917135,58.7204994159872,77.521,8
1975,59.7493869660106,42.4374512847338,-1.47364945113077,-1.46633521127663,25.7707279671042,5.33960343915615,0.452041165666667,51.3377749917458,-12.1674069537389,52.7400836429526,77.683,7
1976,59.1494463472092,37.734105309566,2.91026615928646,2.93558914391343,15.1135672667405,5.17550333681554,0.556509832333334,51.3294428308551,-3.48579004370741,57.4007925840093,77.844,6
1977,58.4049625622044,25.4960667645578,2.45775049016747,2.49143783243224,13.7104941413511,4.92327762103886,0.573271999,51.3344947699837,-4.22003924168985,58.9106533789518,78.005,5
